Data From:Â  https://www.census.gov/popclock/data_tables.php?component=pyramid,,,,,
Age,Male % of Population,Female % of Population,total(n_i),,
0,0.56,0.53,1.09,"Here, n_0=",1.09
1,0.56,0.54,1.1,,
2,0.55,0.53,1.08,,
3,0.57,0.55,1.12,,
4,0.58,0.56,1.14,,
5,0.59,0.57,1.16,,
6,0.61,0.58,1.19,,
7,0.62,0.6,1.22,,
8,0.63,0.6,1.23,,
9,0.63,0.6,1.23,,
10,0.62,0.6,1.22,,
11,0.63,0.6,1.23,,
12,0.63,0.6,1.23,,
13,0.65,0.61,1.26,,
14,0.66,0.63,1.29,,
15,0.68,0.65,1.33,,
16,0.68,0.65,1.33,,
17,0.67,0.64,1.31,"Here, n_17=",1.31
18,0.67,0.64,1.31,"Here,\sum_n_0^{n_17}=",21.76
19,0.67,0.64,1.31,,
20,0.66,0.63,1.29,,
21,0.66,0.63,1.29,,
22,0.67,0.64,1.31,,
23,0.67,0.64,1.31,,
24,0.66,0.64,1.3,,
25,0.66,0.64,1.3,,
26,0.66,0.64,1.3,,
27,0.66,0.64,1.3,,
28,0.67,0.65,1.32,,
29,0.69,0.67,1.36,,
30,0.7,0.68,1.38,,
31,0.71,0.7,1.41,,
32,0.72,0.71,1.43,,
33,0.72,0.71,1.43,,
34,0.7,0.69,1.39,,
35,0.69,0.68,1.37,,
36,0.68,0.67,1.35,,
37,0.68,0.67,1.35,,
38,0.68,0.67,1.35,,
39,0.68,0.67,1.35,,
40,0.66,0.65,1.31,,
41,0.67,0.66,1.33,,
42,0.67,0.66,1.33,,
43,0.66,0.65,1.31,,
44,0.66,0.65,1.31,,
45,0.63,0.62,1.25,,
46,0.61,0.61,1.22,,
47,0.6,0.6,1.2,,
48,0.58,0.58,1.16,,
49,0.59,0.59,1.18,,
50,0.57,0.58,1.15,,
51,0.58,0.59,1.17,,
52,0.61,0.61,1.22,,
53,0.65,0.65,1.3,,
54,0.63,0.64,1.27,,
55,0.61,0.61,1.22,,
56,0.59,0.6,1.19,,
57,0.59,0.61,1.2,,
58,0.6,0.61,1.21,,
59,0.62,0.64,1.26,,
60,0.63,0.66,1.29,,
61,0.63,0.66,1.29,,
62,0.63,0.66,1.29,,
63,0.62,0.66,1.28,,
64,0.61,0.65,1.26,,
65,0.59,0.64,1.23,,
66,0.59,0.63,1.22,"Here, n_66=",1.22
67,0.57,0.62,1.19,"Here,\sum_n_18^{n_66}=",63.16
68,0.54,0.6,1.14,,
69,0.52,0.58,1.1,,
70,0.5,0.56,1.06,,
71,0.48,0.54,1.02,,
72,0.45,0.52,0.97,,
73,0.43,0.5,0.93,,
74,0.4,0.47,0.87,,
75,0.39,0.46,0.85,,
76,0.38,0.45,0.83,,
77,0.4,0.46,0.86,,
78,0.27,0.33,0.6,,
79,0.26,0.32,0.58,,
80,0.24,0.3,0.54,,
81,0.24,0.3,0.54,,
82,0.2,0.26,0.46,,
83,0.17,0.23,0.4,,
84,0.15,0.21,0.36,,
85,0.13,0.19,0.32,,
86,0.12,0.17,0.29,,
87,0.1,0.15,0.25,,
88,0.09,0.14,0.23,,
89,0.08,0.12,0.2,,
90,0.06,0.1,0.16,,
91,0.05,0.09,0.14,,
92,0.04,0.08,0.12,,
93,0.04,0.07,0.11,,
94,0.03,0.06,0.09,,
95,0.02,0.05,0.07,,
96,0.02,0.04,0.06,,
97,0.01,0.03,0.04,,
98,0.01,0.02,0.03,,
99,0.01,0.02,0.03,,
100,0,0.01,0.01,,
101*,0.01,0.02,0.03,,
,,,,"Here,\sum_n_67^{n_66}=",16.48